Designator,Mid X,Mid Y,Rotation,Layer
SW29,119.15,-62.15,180.0,top
SW3,170.4,-50.4,90.0,top
SW30,122.3,-50.6,270.0,bottom
SW31,130.9,-50.6,90.0,bottom
SW4,161.4,-50.4,90.0,top
SW5,152.8,-50.4,90.0,top
SW6,144.2,-50.4,90.0,top
SW7,135.2,-50.4,90.0,top
SW8,126.6,-50.4,90.0,top
SW9,118.0,-50.4,90.0,top
U10,131.05,-68.6,0.0,bottom
U6,155.5785,-65.625,270.0,bottom
U7,147.157377,-58.073546,225.0,bottom
U8,111.0568,-69.950001,90.0,bottom
U9,131.060876,-60.949999,90.0,bottom
X1,167.599998,-65.6,0.0,bottom
